ID,Name,Description,Type,Venue,Start Date,End Date,Host Club,Rotaract Club,Club ID,Zone,Created By,Created By Email,External Partner Clubs,External Partners,Areas of Focus,Avenues of Service,Expenses,Cash Contributions,In Kind Contributions,Participants,Beneficiaries,Volunteers,Volunteer Hours,Editorial,Showcase,Featured,Cover Photo,Photos,Created At,Updated At
682e63c8-0049-4056-b7f9-b2d3ab6509b1,Memorandum of Understanding (MOU) Signing Ceremony,"The Memorandum of Understanding (MOU) Signing Ceremony marked a significant collaboration between Rotary District 3191, Canva, and Ants Skill Varsity with the vision of empowering schools through creative learning and future-ready digital skills. The event highlighted the importance of integrating digital creativity and technology into the education sector to enhance learning opportunities for students.

The ceremony was hosted under the leadership of District Governor Rtn. Sridhar B R and brought together Rotary leaders and invited guests to witness the official signing of the partnership agreement. The session included networking interactions, discussions on educational innovation, and the future impact of digital learning initiatives in schools.

Representing our side, Rtr. Yashwanth Gowda S attended the meeting along with Parent Rotary President Rtn. Srinivas Naidu Sir, gaining insights into Rotary’s initiatives toward educational development and digital empowerment.",PARTICIPATORY_ACTIVITY,"Hotel Ambient Turret, J.P. Nagar, Bengaluru",11/05/2026,11/05/2026," Rotary District 3191 in collaboration with Canva and Ants Skill Varsity",KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,,"Promoting Peace, Supporting Education","Public Image, Editorial/Publication, Next Gen, Finance and Foundation, Club Service",0,0,0,60,60,2,20,Yes,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/29053947-0cc7-405e-9141-d03b71ce1b41.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/29053947-0cc7-405e-9141-d03b71ce1b41.jpeg,2026-06-02T17:44:06.062Z,
517628e6-5fa6-4a9d-a1e1-2b5514a298e4,Council of Presidents and Secretaries 3.0,"The Rotaract Club of KSSEM proudly participated in the Council of Presidents and Secretaries 3.0, held at the conclusion of Quarter 3 of the Rotary Year 2025–26. The event brought together Rotaract clubs from across Rotary International District 3191 to review the accomplishments of the quarter, celebrate club achievements, and gain insights into upcoming district initiatives.

The assembly featured inspiring addresses from district leaders, who shared updates on district activities, recognized the efforts of clubs, and encouraged members to continue creating meaningful impact through service and leadership. The event also provided a valuable platform for clubs to connect, exchange ideas, and strengthen the spirit of collaboration within the district.

A proud highlight of the event was the recognition received by the Rotaract Club of KSSEM. The club was awarded the Emerald Citation for Quarter 3, acknowledging its dedication, impactful projects, active participation, and consistent contributions throughout the quarter. This achievement stands as a testament to the collective efforts, commitment, and enthusiasm of the club's members.

The event concluded on a joyful note with fellowship and networking, providing members with an opportunity to celebrate achievements, build new connections, and create lasting memories with fellow Rotaractors from across the district.

The Rotaract Club of KSSEM remains committed to upholding the values of Rotaract and continuing its journey of service, leadership, and excellence in the quarters ahead.",PARTICIPATORY_ACTIVITY,"Atria Institute of Technology ",10/05/2026,10/05/2026,Rotaract District 3191,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,,"Protecting The Environment, Promoting Peace, Supporting Education, Saving Mothers and Children","Public Image, Professional Development, Club Service",0,0,0,100,100,2,50,No,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/177c90f1-a44d-4d17-811b-bfefff395481.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/177c90f1-a44d-4d17-811b-bfefff395481.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/4c5a8681-e973-4463-8ccc-70d3196034b0.jpeg,2026-06-02T17:40:18.158Z,
7002916a-7bc8-4ddc-a33d-0a28816fd7f5,"Avishkara ","Avishkara – Presidents' and Secretaries' Training Assembly

Avishkara, the annual Presidents' and Secretaries' Training Assembly organized by Rotaract District 3191, was a transformative learning experience for the incoming leadership team of the Rotaract Club of KSSEM. Held at Peninsula Beach Resort, Goa, the event brought together club and district leaders from across the district for an immersive overnight training and fellowship retreat.

The Rotaract Club of KSSEM was proudly represented by the incoming President, Secretary, and members of the core team, who actively participated in the sessions and activities designed to prepare leaders for the upcoming Rotary Year.

The journey to Goa itself was a memorable experience, fostering stronger bonds among the team members and creating an atmosphere of enthusiasm and collaboration even before the commencement of the event.

Avishkara featured a series of insightful and interactive sessions covering essential aspects of club administration and leadership. Key topics included The Rotary Foundation (TRF) and grants, the President–Secretary partnership, treasury management, club reporting systems, district-club relations, membership development, and various other areas crucial for the successful functioning of a Rotaract club. These sessions provided participants with valuable knowledge, practical insights, and a clear understanding of their roles and responsibilities for the year ahead.

The programme was graced by distinguished Rotary leaders and trainers who shared their experiences and expertise, inspiring participants to lead with purpose and vision. The sessions on Rotary grants and project planning were particularly impactful, equipping club leaders with the tools needed to implement sustainable and meaningful community service initiatives.

Beyond the training sessions, Avishkara served as an excellent platform for networking and fellowship. The opportunity to interact with leaders from various clubs across the district encouraged the exchange of ideas, best practices, and collaborative opportunities. The friendships forged and experiences shared throughout the event strengthened the spirit of Rotaract and reinforced the importance of teamwork and leadership.

Overall, Avishkara was an enriching and empowering experience for the Rotaract Club of KSSEM's incoming leadership team. The knowledge gained, connections established, and memories created during the event have laid a strong foundation for a successful and impactful Rotary Year ahead.
",PARTICIPATORY_ACTIVITY,"Peninsula Beach Resort, Goa",15/05/2026,17/05/2026,Rotaract District 3191,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,,"Growing Local Economies, Supporting Education","Public Image, Professional Development, Club Service",0,0,0,120,120,5,200,No,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/500f7d2b-21da-4192-b6a2-b32ad2679492.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/526657d0-1ee7-4c0e-9a30-f0c4e5f2da42.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/3acbb1fe-3fb7-45cc-9637-c00632aa7d2b.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/de3f7e98-75a4-4e22-801d-4220df598fc8.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/01a54361-8e6b-4c43-a84f-fa24ad58f627.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/500f7d2b-21da-4192-b6a2-b32ad2679492.jpeg,2026-06-02T17:33:27.435Z,
865f55c6-ab3c-44a9-9f02-e172c42c8b05,Ekattvam: Voices of One India,"The Rotaract Club of KSSEM, RID 3191, successfully organized “Ekattvam: Voices of One India”, a national-level virtual youth confluence conducted on 14th May 2026 through Google Meet. The initiative was envisioned to celebrate India’s diversity while promoting unity, cultural understanding, and social harmony among students and young leaders from different parts of the country.

The event witnessed enthusiastic participation from Rotaract clubs across multiple states, including Chandigarh, Maharashtra, Madhya Pradesh, and Karnataka. Each participating club represented the voice of its region through engaging presentations that highlighted their culture, traditions, festivals, food, heritage, lifestyle, and linguistic identity. Participants also addressed common stereotypes and social challenges faced in their regions while sharing meaningful perspectives on unity and national integration.

The program followed a well-structured presentation format consisting of regional introductions, cultural highlights, social perspectives, unity messages, and impactful concluding statements. The sessions were informative, interactive, and insightful, enabling participants to appreciate the uniqueness and values of different cultures across India. To make the event more engaging, fun interactive activities and games were conducted between sessions, encouraging bonding and active participation among attendees.

“Ekattvam” also served as a valuable networking platform, strengthening inter-club collaboration and fostering meaningful connections among Rotaractors nationwide. The event concluded on a positive and inspiring note, leaving participants with a strong message of togetherness, mutual respect, and harmony — truly reflecting the spirit of Unity in Diversity and celebrating the essence of One India, One Voice.",STANDALONE_ACTIVITY,Online (G - Meet),14/05/2026,14/05/2026,,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,,"Growing Local Economies, Protecting The Environment, Promoting Peace, Supporting Education, Saving Mothers and Children","International Service, Public Image, Professional Development, Club Service",0,0,0,77,77,8,350,Yes,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/2109e237-de2b-4a47-8bde-273b62f33247.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/c99def14-eac6-42f0-a12c-aa4395c9feee.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/785f6eca-02dd-438c-a104-c83c441cd5d0.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/a159267d-2464-44eb-aa8c-f951e195779c.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/9cac27f3-5c21-4f95-a0e7-1aedb947d4a5.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/8b38931b-28e2-436c-9855-d36f979c8f38.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/2109e237-de2b-4a47-8bde-273b62f33247.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/88494551-9df2-4d32-bccb-2edc7c15818e.jpeg,2026-06-02T17:26:50.738Z,
370d5c91-ee9d-4c01-8723-5f681c638741,"Prathiba Parva - District Level ","The Rotaract Club of KSSEM is proud to celebrate remarkable achievements at Prathibha Parva, a district-level talent platform organized by Rotary District 3191.

Representing the club with excellence and enthusiasm, our members showcased their talents across multiple categories and brought laurels to the club at the district level.

Rtr. Hita Srinivas secured First Prize in the Dance Competition, delivering an outstanding performance that captivated the audience and judges alike.

Rtr. Mahesh secured First Prize in the Impromptu Speaking Competition. After successfully advancing through the zonal round, he represented the Rotaract Club of KSSEM and Rotary Vidyapeeta at the district level. The competition tested participants on their ability to think on their feet and speak confidently on random topics with minimal preparation time. His exceptional communication skills, confidence, and presence of mind earned him the top position in the event.

These achievements reflect the diverse talents, dedication, and commitment of our members. They also highlight the club’s continuous efforts to provide opportunities for personal growth, leadership development, and the pursuit of excellence beyond academics and service.

The Rotaract Club of KSSEM extends its heartfelt congratulations to Rtr. Hita Srinivas and Rtr. Mahesh for their outstanding accomplishments. Their success serves as an inspiration to fellow Rotaractors and reinforces the spirit of learning, creativity, and self-development that our club strives to promote.

We also express our gratitude to our mentors, club leaders, and Rotary District 3191 for providing platforms that encourage members to discover, develop, and showcase their talents.",PARTICIPATORY_ACTIVITY,"Rotary House of Friendship ",10/05/2026,10/05/2026,Rotary District,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,,"Growing Local Economies, Promoting Peace, Supporting Education","Public Image, Professional Development, Club Service",0,0,0,150,150,8,100,Yes,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/4d43dd9c-7daa-4225-b352-befa8a0b3ef2.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/db7e135b-f39c-4d39-a6e4-d608558d4314.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/4d43dd9c-7daa-4225-b352-befa8a0b3ef2.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/778a9927-b71a-4c4f-b633-02597030c75f.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/1feda4a8-30ef-4d28-a24c-e57860ae4746.jpeg,2026-06-02T17:23:36.918Z,
81734f72-904a-44fb-8038-5e84b46c4454,ನವೋದಯ - Navodaya,"Project ನವೋದಯ (Navodaya), meaning ""New Sunrise,"" was a highly successful two-day school transformation drive conducted on May 16th and 17th, 2026, at Padmanabha Nagar Government School. Organized by the Rotaract Club of KSSEM in collaboration with our Parent Rotary Club and the Swabhimaani Foundation, the project aimed to revitalize the school's infrastructure and turn plain walls into interactive learning spaces using the Building as Learning Aid (BaLA) framework. On Day 1, a dedicated team of 15 volunteers kicked off the drive at 8:30 AM by conducting intensive surface preparation, scraping weathered paint, filling wall cracks, applying a fresh base layer of primer, and sketching out large-scale educational murals. On Day 2, a focused group of 10 volunteers took over to execute the intricate painting, detailing, and color composition of the BaLA elements, including numerical tracks and literacy graphics. After completing the final aesthetic touches, the team performed a thorough cleanup to leave the campus spotless. The project successfully transformed multiple classrooms and outdoor areas into a vibrant, inspiring environment for the children while strengthening the collaborative ties between our club, the parent club, and the foundation. This meaningful initiative lived up to its name by delivering a brighter future for the school community through the dedicated physical service of our members.",JOINT_INITIATIVE,Padmanabha Nagar Government School,16/05/2026,17/05/2026,Rotaract Club of KSSEM,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,Swabhimaani Foundation,"Protecting The Environment, Providing Clean Water, Sanitation and Hygiene, Promoting Peace, Supporting Education, Saving Mothers and Children","Public Image, Community Service, Club Service",0,0,0,50,250,25,300,Yes,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/62ec07c0-58c6-4a3f-999e-2df56d335f80.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/d7fe3290-38a4-4782-a779-744f89b5cf4e.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/fbf2d95b-2297-4641-b65f-215e2b764059.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/ee78c8af-d6b9-4d62-bd21-6ac9c9061605.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/62ec07c0-58c6-4a3f-999e-2df56d335f80.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/6a9618e9-5526-4257-872e-e14040c6f570.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/73b7dbf4-7fdb-4787-a1f0-f94d0ab3e4ff.jpeg,2026-06-02T16:48:31.083Z,
12f07041-8f40-473b-81d5-ec190ef3880d,Beyond the Bin – Crafting Change Through Creativity,"The Rotaract Club of KSSEM, RID 3191, successfully organized “Beyond the Bin – Crafting Change Through Creativity” on 4th May 2026 at the KS School of Engineering and Management Campus. The initiative was conducted with the objective of promoting environmental sustainability, encouraging proper waste disposal practices, and creating awareness about the harmful effects of plastic pollution through innovative crafts made entirely from waste materials.

As part of the event, Rotaractors collected discarded materials such as newspapers, cardboard, paper scraps, plastic waste, and other recyclable items found around the college campus. Instead of allowing these materials to contribute to environmental pollution, the collected waste materials were creatively repurposed into awareness displays carrying impactful environmental messages.

Participants showcased their creativity by designing unique installations and artworks with messages such as “Say No to Plastic,” “Use Dustbins, Keep the Campus Clean,”** and the universally recognized Recycling Symbol. One of the major highlights of the event was the creation of “RACKSSEM” using rolled newspaper sheets and recycled materials, symbolizing the club’s commitment towards sustainability and environmental conservation.

The awareness installations were created to be displayed around the college premises, serving as constant reminders for students and visitors to avoid littering, reduce plastic usage, segregate waste, and make effective use of dustbins. Through these creative displays, the club aimed to encourage eco-friendly habits and inspire students to contribute towards maintaining a cleaner and greener campus environment.

The event provided an excellent platform for participants to express their creativity while understanding the importance of recycling and reusing resources. It highlighted how materials often considered waste can be transformed into meaningful creations that create positive social impact. The initiative also promoted teamwork, innovation, and environmental consciousness among the participants.

The activity witnessed enthusiastic participation from 60 Rotaractors and students, making the initiative both engaging and educational. The creative artworks not only beautified the campus but also spread strong messages about environmental responsibility and sustainable living.

In conclusion, “Beyond the Bin – Crafting Change Through Creativity” was a successful initiative by the Rotaract Club of KSSEM that effectively combined creativity with environmental awareness. By transforming waste materials into meaningful awareness installations, the event successfully promoted the importance of recycling, proper waste disposal, and reducing plastic pollution. The initiative left a lasting impact on the campus community and reinforced the message that small actions can lead to significant positive changes for a cleaner, greener, and more sustainable future.",STANDALONE_ACTIVITY,KS School of Engineering and Management Campus,04/05/2026,04/05/2026,,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,,"Growing Local Economies, Protecting The Environment, Promoting Peace, Supporting Education","Public Image, Community Service, Professional Development, Club Service",0,0,0,60,60,60,600,Yes,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/54a65ac0-0f54-46ac-b425-82b874411be0.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/987709a7-616c-4fde-a334-8d95caa71289.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/54a65ac0-0f54-46ac-b425-82b874411be0.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/62ee1fe8-83f3-448d-af95-5d877b7afad6.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/d478fbd7-c808-4938-94ec-cf88d9cf0028.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/95d5478d-350e-4cec-b865-595e04e2e5e0.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/8111fcc6-416e-42f5-9aa2-de2349bfaa3a.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/e93a19ee-dc9a-4f10-a3ee-952464718ea8.jpeg,2026-06-02T16:29:07.153Z,
88eb6e0f-14ff-4f6a-9b47-caba4e184582,Eco Warriors,"The event was organized with the objective of promoting cleanliness, environmental responsibility, and community involvement among students. Volunteers enthusiastically participated in the initiative and were divided into groups to carry out the cleanliness drive effectively across different areas of the campus.

Participants actively cleaned common spaces, collected waste materials, and contributed towards maintaining a cleaner and healthier environment within the college premises. The initiative encouraged teamwork, discipline, leadership, and social responsibility among the students while spreading awareness about the importance of cleanliness and sustainable practices.

The two-day event witnessed active participation from students and successfully created a positive impact on the campus environment. Through Eco Warriors, the Rotaract Club of KSSEM and NSS once again demonstrated their commitment towards community service and environmental awareness.
",STANDALONE_ACTIVITY,KSSEM College,02/05/2026,03/05/2026,,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,,"Growing Local Economies, Protecting The Environment, Providing Clean Water, Sanitation and Hygiene, Promoting Peace","Public Image, Community Service, Club Service",0,0,0,70,70,70,700,Yes,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/8021d3f6-28d0-4c27-a3f8-7cb288bd0596.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/da6ff38b-eb83-424a-9c91-05541aae0d6a.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/8021d3f6-28d0-4c27-a3f8-7cb288bd0596.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/94836fdf-0750-41f4-b037-b0cdc95b9138.jpeg,2026-06-02T16:21:13.660Z,
cf7242f7-86ff-49c0-9b78-4d2704c3691d,Food Donation Drive,"The Rotaract Club of KSSEM, in collaboration with Swabhimaani Foundation, successfully organized a Food Donation Drive on April 4th, 2026, with the aim of serving needy and underprivileged people. As a part of this humanitarian initiative, around 100 food packets were prepared and distributed to roadside needy people around K R Market and Victoria Hospital, Bengaluru.

The drive was carried out with great enthusiasm and dedication by the external volunteers. The activity mainly focused on spreading kindness, compassion, and social responsibility towards the community.

The initiative created a meaningful impact among the beneficiaries and also helped the members understand the importance of service and empathy. The collaboration with Swabhimaani Foundation added more strength and support to the event, making the drive more organized and effective.

Overall, the event was successfully completed with active participation from the members of the Rotaract Club of KSSEM, reflecting the true spirit of “Service Above Self.”",COLLABORATION_WITH_SPONSORED_CLUB,K R Market and Victoria Hospital,04/04/2026,04/04/2026,,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,Swabhimaani Foundation,Fighting Disease,Community Service,5000,0,0,100,100,6,300,Yes,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/5542fa71-3e6d-4314-b6e5-7401aaf8fcb5.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/7af7eef9-6a2b-455d-94a8-795bdb08aa93.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/7742560a-18e0-42e8-b388-0817e14360f5.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/38147576-18f0-4d5e-9abe-eb64d6fa472b.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/5542fa71-3e6d-4314-b6e5-7401aaf8fcb5.jpeg,2026-05-07T18:20:32.819Z,
e052ac0e-6bc4-4df3-b266-51d9fbf3c4cc,Ugadi Celebration,"The Rotaract Club of KSSEM enthusiastically volunteered at the Ugadi Celebration organized by Kamavari Sangam. The event provided members with an opportunity to engage in community service while contributing to the successful execution of the celebration. Volunteers actively assisted in coordinating activities and ensuring the event was conducted smoothly, reflecting strong teamwork and dedication throughout the day.
The club expresses its sincere gratitude to the faculty coordinator, Keerthi Sir, for providing this opportunity and guiding the team throughout the event. Special appreciation is also extended to Rtr. Hemanth for efficiently coordinating with the volunteers and managing the activities seamlessly.
The volunteering experience was both meaningful and memorable for all the participants. As a gesture of appreciation for their efforts and contribution, the management presented goodies to the volunteers, making the experience even more special and encouraging the spirit of service among the members.",HOSTED_ACTIVITY,"V Legacy, Hosakerehalli",05/04/2026,05/04/2026,,KSSEM,213238,Zone Ashwa,Manoj B,manojbkssem@gmail.com,,,"Growing Local Economies, Promoting Peace, Supporting Education","Community Service, Club Service",0,0,0,700,700,12,350,No,Yes,No,https://media.3191-2525.clubstack.tixora.space/uploads/22a80942-6074-47b7-b9ce-a36fb823ac3d.jpeg,https://media.3191-2525.clubstack.tixora.space/uploads/103f4165-0b7b-4d64-a973-7279b1877d2b.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/b3281fb9-0952-4611-a09d-756d1aa107f6.jpeg | https://media.3191-2525.clubstack.tixora.space/uploads/22a80942-6074-47b7-b9ce-a36fb823ac3d.jpeg,2026-05-07T18:08:54.709Z,
